nom,adresse,adresse2,adresse3,code_postal,ville,email,tel,fax,web,wgs84
Centre d'animation Les Halles Marais,"6-8, place Carrée",Forum des Halles,,75001,Paris,caleshalles@actisce.org,01 40 28 18 48,,http://www.anim-leshalles.org,"48.862424, 2.345859"
Le duc des Lombards,42 rue des Lombards,,,75001,Paris,contact@ducdeslombards.com,01 42 33 22 88,01 40 28 98 52,http://www.ducdeslombards.com/,"48.8597213, 2.348596"
Médiathèque musicale de Paris,8 porte Saint-Eustache,,,75001,Paris,mmp@paris.fr,01 55 80 75 30,,,"48.862357, 2.345843"
Les Voûtes Saint-Honoré,99 rue Saint Honoré,,,75001,Paris,lvsh@wanadoo.fr,01 42 36 90 33,01 42 36 96 38,http://www.lesvoutes-st-honore.com/,"48.8613909, 2.3429797"
Salle Jean Dame A Paris,"17, rue Léopold Bellan",,,75002,Paris,,,,,"48.8665516, 2.345287"
Bibliothèque Marguerite Audoux,10 rue Portefoin,,,75003,Paris,bibliotheque.marguerite-audoux@paris.fr,01 44 78 55 20,,,"48.8635945, 2.360135"
Centre culturel suisse,"32-38, rue des Francs-Bourgeois",,,75003,Paris,ccs@ccsparis.com,01 42 71 44 50,01 42 71 51 24,http://www.ccsparis.com,"48.858274, 2.359646"
Galerie Quang,"7, rue des Filles du Calvaire",,,75003,Paris,info@galerie-quang.com,01 44 54 92 15,09 50 42 81 96,http://www.galerie-quang.com,"48.8624802, 2.3654188"
Bibliothèque Historique de la Ville de Paris,24 rue Pavée,,,75004,Paris,bhvp@paris.fr,01 44 59 29 40,,,"48.8571187, 2.3617496"
Centre Wallonie-Bruxelles,"46, rue de Quincampoix",,,75004,Paris,info@cwb.fr,01†53†01†96†96,01 48 04 90 85,http://www.cwb.fr,"48.861161, 2.35051"
Ircam,1 place Igor-Stravinsky,,,75004,Paris,,01 44 78 48 43,01 44 78 15 45,http://www.ircam.fr/,"48.8594444, 2.3513889"
Théâtre des Blancs-Manteaux,"15, rue des Blancs-Manteaux",,,75004,Paris,infos@blancsmanteaux.fr,,01 42 72 89 16,http://www.blancsmanteaux.fr,"48.8587514, 2.357437"
