NOM,EMAIL,TEL,ADRESSE,Complement d'adresse,CODE POSTAL,VILLE,PAYS,WEB,Type lieu,RESIDENCE,Accompagnement,Reseaux,Tags perso,Saison,STYLES,CONTRATS,DECOUVERTE,Cycle de programmation,OBSERVATIONS PROGRAMMATION,MOIS PROSPECTION,Places assises,Places debout,Places Mixte,PLACES DEBOUT Modulable,Places assises modulable,Ouverture plateau,Profondeur plateau,Hauteur plateau,Bar salle,Observation Lieu,Nom Programmateur,Email Programmateur,Tel Programmateur,Observations Programmateur,Nom Regisseur,Email Regisseur,Tel Regisseur,Observations Regisseur,Nom Programmateur jeune public,Tel Programmateur jeune public,Nom Ma fonction,Email Ma fonction,Tel Ma fonction,observations Ma foncTION
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINS D'ŒUVRES,info@mainsdoeuvres.org,01 40 11 25 25 ,1 RUE CHARLES GARNIER,,,ST OUEN,,www.mainsdoeuvres.org,AUTRE,X,,"ACTES IF ,MAAD 93",,1..12,PLURIDISCIPLINAIRE,bilibop,yupee,12,,1..3,100,250,,,,-0,-0,-0,,,Ann Huiton,,,,GILLES MORDANT,gillou@mourdant.org,123,N'a pas d'oreille …,Thierry Bilisko,coucou,,,,
MJC DE BOURG EN BRESSE,mjc-bourg.01@free.fr,04 74 23 27 44,21A ALLEE DE CHALLES,,1000,BOURG EN BRESSE,,-0,MJC,X,,,"accueil sympa, joe dalton","1..4,7..8,11",PLURIDISCIPLINAIRE,"Cession, Autre",X,3,Chouette prog,2..5,180,250,,X,X,6,8,3,X,sdfs,VINCENT BRUN - SOLENNE MERCIER,,,,Gilles Mordant,,,,,,,,,
LA TANNERIE,,04 74 21 04 55,123 PLACE DE LA VINAIGRERIE,,1000,BOURG EN BRESSE,,www.la-tannerie.com,SCENE DE MUSIQUES ACTUELLES,,,FEDUROK,,13,MUSIQUE,,,,,,200,550,,X,X,5,8,4,,azera,VINCENT BRUN - SOLENNE MERCIER,,,,DAVID PILLON,,,,,,,,,
THEATRE DE BOURG BRESSE,,04 74 50 40 00,11 PLACE DE LA GRENETTE,,1004,BOURG EN BRESSE CEDEX,,www.theatre-bourg.com,SCENE CONVENTIONNEE,,,GROUPE DES 20,,,PLURIDISCIPLINAIRE,,,,,,605,,,,,12,12,16,,,WILFRID CHARLES,,,,-0,,,,,,,,,
CENTRE CULTUREL LOUIS ARAGON,centre.culturel@ville-oyonnax.fr,04 74 81 96 80,88 COURS DE VERDUN,,1108,OYONNAX CEDEX,,,SCENE CONVENTIONNEE,,,,,,PLURIDISCIPLINAIRE,,,,,,640,,,,,12,11,14,,,CHANTAL FARAMA,,,,PHILIPPE VUILLET,,,,,,,,,
La tannerie,wesh@tannerie.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon lieu de test,1@gmail.com,azerty,,lieu dit la zik,75010,paris,france,,Festival,,,rezo,tagperso1,1,MUSIQUE,,,24,festival unique en son genre et surtout qui décoiffe !!!!,10..11,,,,,,,,,,protection pluie,FSB,fsb@m.gouv,618314542,,régis guillot,rg@m.net,,obs régisseur,,,Laeti DG,dg@m.org,3310101010101,observations Ma foncTION
Mon lieu de test2,1@gmail.com,azerty,,lieu dit la zik2,75010,paris,france,,Festival,,,rezo,tagperso1,1,MUSIQUE,,,24,,10..11,,,,,,,,,,protection pluie,FSB2,fsb@m.gouv,618314542,,régis guillot2,rg@m.net,,obs régisseur,,,Laeti DG2,dg@m.org,3310101010101,observations Ma foncTION
Mon lieu de test3,1@gmail.com,azerty,,lieu dit la zik3,75010,paris,france,,Festival,,,rezo,tagperso1,1,MUSIQUE,,,24,,10..11,,,,,,,,,,protection pluie,FSB3,fsb@m.gouv,618314542,,régis guillot3,rg@m.net,,obs régisseur,,,Laeti DG3,dg@m.org,3310101010101,observations Ma foncTION
Mon lieu de test4,,azerty,,lieu dit la zik4,75010,paris,france,,AUTRE,,,,,1,PLURIDISCIPLINAIRE,contrat4,,12,,1,1200000000000,12000000,,,,,,,,,FSB4,fsb@m.gouv,618314542,,régis guillot4,rg@m.net,,obs régisseur,,,Laeti DG4,dg@m.org,3310101010101,observations Ma foncTION
